
---------- Begin Simulation Statistics ----------
simSeconds                                   2.969254                       # Number of seconds simulated (Second)
simTicks                                 2969254191500                       # Number of ticks simulated (Tick)
finalTick                                2969254191500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   6266.33                       # Real time elapsed on the host (Second)
hostTickRate                                473842272                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2276332                       # Number of bytes of host memory used (Byte)
simInsts                                    500000000                       # Number of instructions simulated (Count)
simOps                                      619058363                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    79791                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      98791                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       5938508384                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              11.877017                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.084196                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       830679639                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       27                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      841047829                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    277                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            211621264                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         734165734                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  11                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3512561092                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.239440                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.622972                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2935304061     83.57%     83.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 387007492     11.02%     94.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 137371539      3.91%     98.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  35300920      1.00%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15026184      0.43%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2166944      0.06%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    232635      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    151303      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        14      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            3512561092                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
