
---------- Begin Simulation Statistics ----------
simSeconds                                   1.099065                       # Number of seconds simulated (Second)
simTicks                                 1099065180500                       # Number of ticks simulated (Tick)
finalTick                                1099065180500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1855.97                       # Real time elapsed on the host (Second)
hostTickRate                                592178554                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2509872                       # Number of bytes of host memory used (Byte)
simInsts                                    200000002                       # Number of instructions simulated (Count)
simOps                                      203801572                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   107760                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     109809                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       2198130362                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              10.918422                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.091588                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       267918559                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       26                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      267362896                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    741                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             64116985                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         185707586                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  10                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           990722261                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.269867                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.682759                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 812046875     81.97%     81.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 123062423     12.42%     94.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  32172417      3.25%     97.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15199255      1.53%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7371257      0.74%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    347910      0.04%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    521581      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       534      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         9      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             990722261                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
