
---------- Begin Simulation Statistics ----------
simSeconds                                   1.701850                       # Number of seconds simulated (Second)
simTicks                                 1701849812000                       # Number of ticks simulated (Tick)
finalTick                                1701849812000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2929.22                       # Real time elapsed on the host (Second)
hostTickRate                                580991282                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2276612                       # Number of bytes of host memory used (Byte)
simInsts                                    200000007                       # Number of instructions simulated (Count)
simOps                                      251896240                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    68278                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      85994                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       3403699625                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              17.018498                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.058760                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       437979367                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       18                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      386620675                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 103807                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            186083145                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         767714741                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1578429745                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.244940                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.610117                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1305114027     82.68%     82.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 187543527     11.88%     94.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  65209296      4.13%     98.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  13601918      0.86%     99.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6954365      0.44%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      4374      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      2204      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        24      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        10      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1578429745                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
